# Time, Pressure, Pressure_err
-10, -9.95648, 5.78001
-9.97998, -9.97913, 5.78001
-9.95996, -10.0168, 5.78001
-9.93994, -9.96995, 5.78001
-9.91992, -9.95664, 5.78001
-9.8999, -9.90426, 5.78001
-9.87988, -9.82279, 5.78001
-9.85986, -9.88371, 5.78001
-9.83984, -9.82908, 5.78001
-9.81982, -9.85175, 5.78001
-9.7998, -9.82607, 5.78001
-9.77978, -9.83259, 5.78001
-9.75976, -9.8106, 5.78001
-9.73974, -9.7956, 5.78001
-9.71972, -9.61421, 5.78001
-9.6997, -9.74113, 5.78001
-9.67968, -9.62777, 5.78001
-9.65966, -9.63123, 5.78001
-9.63964, -9.62444, 5.78001
-9.61962, -9.68393, 5.78001
-9.5996, -9.53062, 5.78001
-9.57958, -9.50452, 5.78001
-9.55956, -9.52406, 5.78001
-9.53954, -9.51296, 5.78001
-9.51952, -9.50089, 5.78001
-9.4995, -9.58114, 5.78001
-9.47948, -9.4373, 5.78001
-9.45946, -9.41104, 5.78001
-9.43944, -9.47354, 5.78001
-9.41942, -9.43435, 5.78001
-9.3994, -9.49308, 5.78001
-9.37938, -9.45986, 5.78001
-9.35936, -9.49186, 5.78001
-9.33934, -9.28942, 5.78001
-9.31932, -9.22483, 5.78001
-9.2993, -9.32681, 5.78001
-9.27928, -9.14152, 5.78001
-9.25926, -9.23608, 5.78001
-9.23924, -9.15468, 5.78001
-9.21922, -9.1184, 5.78001
-9.1992, -9.19486, 5.78001
-9.17918, -9.19138, 5.78001
-9.15916, -9.09971, 5.78001
-9.13914, -9.08319, 5.78001
-9.11912, -9.09543, 5.78001
-9.0991, -9.18243, 5.78001
-9.07908, -9.06385, 5.78001
-9.05906, -9.06006, 5.78001
-9.03904, -9.0974, 5.78001
-9.01902, -9.09228, 5.78001
-8.999, -8.97951, 5.78001
-8.97898, -8.9304, 5.78001
-8.95896, -8.98019, 5.78001
-8.93894, -8.86837, 5.78001
-8.91892, -8.91323, 5.78001
-8.8989, -8.81635, 5.78001
-8.87888, -8.9141, 5.78001
-8.85886, -8.78806, 5.78001
-8.83884, -8.79794, 5.78001
-8.81882, -8.81936, 5.78001
-8.7988, -8.89664, 5.78001
-8.77878, -8.68302, 5.78001
-8.75876, -8.8131, 5.78001
-8.73874, -8.78494, 5.78001
-8.71872, -8.65903, 5.78001
-8.6987, -8.73416, 5.78001
-8.67868, -8.68622, 5.78001
-8.65866, -8.64276, 5.78001
-8.63864, -8.6499, 5.78001
-8.61862, -8.67188, 5.78001
-8.5986, -8.67215, 5.78001
-8.57858, -8.58963, 5.78001
-8.55856, -8.62019, 5.78001
-8.53854, -8.59091, 5.78001
-8.51852, -8.49304, 5.78001
-8.4985, -8.49453, 5.78001
-8.47848, -8.4408, 5.78001
-8.45846, -8.42089, 5.78001
-8.43844, -8.42713, 5.78001
-8.41842, -8.42267, 5.78001
-8.3984, -8.44701, 5.78001
-8.37838, -8.3776, 5.78001
-8.35836, -8.28761, 5.78001
-8.33834, -8.30913, 5.78001
-8.31832, -8.3104, 5.78001
-8.2983, -8.26582, 5.78001
-8.27828, -8.30589, 5.78001
-8.25826, -8.26087, 5.78001
-8.23824, -8.26361, 5.78001
-8.21822, -8.24263, 5.78001
-8.1982, -8.14857, 5.78001
-8.17818, -8.22938, 5.78001
-8.15816, -8.13511, 5.78001
-8.13814, -8.25228, 5.78001
-8.11812, -8.05317, 5.78001
-8.0981, -8.09778, 5.78001
-8.07808, -8.09394, 5.78001
-8.05806, -8.09001, 5.78001
-8.03804, -8.04065, 5.78001
-8.01802, -7.95126, 5.78001
-7.998, -8.03791, 5.78001
-7.97798, -7.94784, 5.78001
-7.95796, -7.99327, 5.78001
-7.93794, -7.78311, 5.78001
-7.91792, -7.98577, 5.78001
-7.8979, -7.8737, 5.78001
-7.87788, -7.94241, 5.78001
-7.85786, -7.87423, 5.78001
-7.83784, -7.81865, 5.78001
-7.81782, -7.84164, 5.78001
-7.7978, -7.72352, 5.78001
-7.77778, -7.6837, 5.78001
-7.75776, -7.67586, 5.78001
-7.73774, -7.78298, 5.78001
-7.71772, -7.74044, 5.78001
-7.6977, -7.63292, 5.78001
-7.67768, -7.61879, 5.78001
-7.65766, -7.74722, 5.78001
-7.63764, -7.64124, 5.78001
-7.61762, -7.58403, 5.78001
-7.5976, -7.60871, 5.78001
-7.57758, -7.6142, 5.78001
-7.55756, -7.598, 5.78001
-7.53754, -7.5508, 5.78001
-7.51752, -7.47093, 5.78001
-7.4975, -7.51531, 5.78001
-7.47748, -7.42587, 5.78001
-7.45746, -7.46985, 5.78001
-7.43744, -7.45279, 5.78001
-7.41742, -7.47673, 5.78001
-7.3974, -7.44592, 5.78001
-7.37738, -7.36131, 5.78001
-7.35736, -7.37624, 5.78001
-7.33734, -7.38801, 5.78001
-7.31732, -7.29062, 5.78001
-7.2973, -7.27465, 5.78001
-7.27728, -7.33496, 5.78001
-7.25726, -7.2415, 5.78001
-7.23724, -7.43512, 5.78001
-7.21722, -7.27729, 5.78001
-7.1972, -7.08964, 5.78001
-7.17718, -7.10075, 5.78001
-7.15716, -7.14208, 5.78001
-7.13714, -7.14135, 5.78001
-7.11712, -7.07958, 5.78001
-7.0971, -7.11197, 5.78001
-7.07708, -7.06649, 5.78001
-7.05706, -6.99723, 5.78001
-7.03704, -7.00724, 5.78001
-7.01702, -6.92672, 5.78001
-6.997, -7.03949, 5.78001
-6.97698, -6.96712, 5.78001
-6.95696, -7.01724, 5.78001
-6.93694, -6.96714, 5.78001
-6.91692, -6.94387, 5.78001
-6.8969, -6.94822, 5.78001
-6.87688, -6.85125, 5.78001
-6.85686, -6.93449, 5.78001
-6.83684, -6.89303, 5.78001
-6.81682, -6.78551, 5.78001
-6.7968, -6.72482, 5.78001
-6.77678, -6.74389, 5.78001
-6.75676, -6.75475, 5.78001
-6.73674, -6.68507, 5.78001
-6.71672, -6.6428, 5.78001
-6.6967, -6.75281, 5.78001
-6.67668, -6.64245, 5.78001
-6.65666, -6.66379, 5.78001
-6.63664, -6.61982, 5.78001
-6.61662, -6.57838, 5.78001
-6.5966, -6.55668, 5.78001
-6.57658, -6.64573, 5.78001
-6.55656, -6.46573, 5.78001
-6.53654, -6.59771, 5.78001
-6.51652, -6.50152, 5.78001
-6.4965, -6.42641, 5.78001
-6.47648, -6.49236, 5.78001
-6.45646, -6.41888, 5.78001
-6.43644, -6.39114, 5.78001
-6.41642, -6.39481, 5.78001
-6.3964, -6.37014, 5.78001
-6.37638, -6.39855, 5.78001
-6.35636, -6.38385, 5.78001
-6.33634, -6.37642, 5.78001
-6.31632, -6.2601, 5.78001
-6.2963, -6.2985, 5.78001
-6.27628, -6.2959, 5.78001
-6.25626, -6.12951, 5.78001
-6.23624, -6.23448, 5.78001
-6.21622, -6.2752, 5.78001
-6.1962, -6.17187, 5.78001
-6.17618, -6.1915, 5.78001
-6.15616, -6.14967, 5.78001
-6.13614, -6.17219, 5.78001
-6.11612, -6.07312, 5.78001
-6.0961, -6.1362, 5.78001
-6.07608, -6.07339, 5.78001
-6.05606, -6.06553, 5.78001
-6.03604, -5.98718, 5.78001
-6.01602, -5.99962, 5.78001
-5.996, -5.96191, 5.78001
-5.97598, -5.92673, 5.78001
-5.95596, -5.97578, 5.78001
-5.93594, -5.93861, 5.78001
-5.91592, -5.81119, 5.78001
-5.8959, -5.93551, 5.78001
-5.87588, -5.92911, 5.78001
-5.85586, -5.77294, 5.78001
-5.83584, -5.79967, 5.78001
-5.81582, -5.72717, 5.78001
-5.7958, -5.78631, 5.78001
-5.77578, -5.72138, 5.78001
-5.75576, -5.77257, 5.78001
-5.73574, -5.66678, 5.78001
-5.71572, -5.77448, 5.78001
-5.6957, -5.69342, 5.78001
-5.67568, -5.6709, 5.78001
-5.65566, -5.58978, 5.78001
-5.63564, -5.59312, 5.78001
-5.61562, -5.65964, 5.78001
-5.5956, -5.59777, 5.78001
-5.57558, -5.56186, 5.78001
-5.55556, -5.52708, 5.78001
-5.53554, -5.55317, 5.78001
-5.51552, -5.54842, 5.78001
-5.4955, -5.48255, 5.78001
-5.47548, -5.50968, 5.78001
-5.45546, -5.3925, 5.78001
-5.43544, -5.49583, 5.78001
-5.41542, -5.45874, 5.78001
-5.3954, -5.46047, 5.78001
-5.37538, -5.3556, 5.78001
-5.35536, -5.21372, 5.78001
-5.33534, -5.3509, 5.78001
-5.31532, -5.39193, 5.78001
-5.2953, -5.29627, 5.78001
-5.27528, -5.28836, 5.78001
-5.25526, -5.26108, 5.78001
-5.23524, -5.15227, 5.78001
-5.21522, -5.20858, 5.78001
-5.1952, -5.1827, 5.78001
-5.17518, -5.21805, 5.78001
-5.15516, -5.16312, 5.78001
-5.13514, -5.13609, 5.78001
-5.11512, -5.09222, 5.78001
-5.0951, -5.1406, 5.78001
-5.07508, -5.03252, 5.78001
-5.05506, -5.06302, 5.78001
-5.03504, -5.02548, 5.78001
-5.01502, -4.99124, 5.78001
-4.99499, -4.97145, 5.78001
-4.97497, -4.95587, 5.78001
-4.95495, -4.93953, 5.78001
-4.93493, -4.84525, 5.78001
-4.91491, -4.83834, 5.78001
-4.89489, -4.97458, 5.78001
-4.87487, -4.89455, 5.78001
-4.85485, -4.87714, 5.78001
-4.83483, -4.93034, 5.78001
-4.81481, -4.78749, 5.78001
-4.79479, -4.77453, 5.78001
-4.77477, -4.81213, 5.78001
-4.75475, -4.71273, 5.78001
-4.73473, -4.66828, 5.78001
-4.71471, -4.75315, 5.78001
-4.69469, -4.75004, 5.78001
-4.67467, -4.6593, 5.78001
-4.65465, -4.68487, 5.78001
-4.63463, -4.64072, 5.78001
-4.61461, -4.63591, 5.78001
-4.59459, -4.58412, 5.78001
-4.57457, -4.55715, 5.78001
-4.55455, -4.64997, 5.78001
-4.53453, -4.47226, 5.78001
-4.51451, -4.50592, 5.78001
-4.49449, -4.47298, 5.78001
-4.47447, -4.46653, 5.78001
-4.45445, -4.53016, 5.78001
-4.43443, -4.39644, 5.78001
-4.41441, -4.46903, 5.78001
-4.39439, -4.29918, 5.78001
-4.37437, -4.36428, 5.78001
-4.35435, -4.39017, 5.78001
-4.33433, -4.27451, 5.78001
-4.31431, -4.42643, 5.78001
-4.29429, -4.2458, 5.78001
-4.27427, -4.28847, 5.78001
-4.25425, -4.2557, 5.78001
-4.23423, -4.29533, 5.78001
-4.21421, -4.15819, 5.78001
-4.19419, -4.10416, 5.78001
-4.17417, -4.19764, 5.78001
-4.15415, -4.07586, 5.78001
-4.13413, -4.12756, 5.78001
-4.11411, -4.10901, 5.78001
-4.09409, -4.06717, 5.78001
-4.07407, -4.14829, 5.78001
-4.05405, -3.94379, 5.78001
-4.03403, -3.99969, 5.78001
-4.01401, -3.95525, 5.78001
-3.99399, -4.00052, 5.78001
-3.97397, -3.99923, 5.78001
-3.95395, -3.87698, 5.78001
-3.93393, -3.98974, 5.78001
-3.91391, -3.90229, 5.78001
-3.89389, -3.9624, 5.78001
-3.87387, -3.94425, 5.78001
-3.85385, -3.79795, 5.78001
-3.83383, -3.78279, 5.78001
-3.81381, -3.85516, 5.78001
-3.79379, -3.82896, 5.78001
-3.77377, -3.76431, 5.78001
-3.75375, -3.79657, 5.78001
-3.73373, -3.74782, 5.78001
-3.71371, -3.72448, 5.78001
-3.69369, -3.70475, 5.78001
-3.67367, -3.63194, 5.78001
-3.65365, -3.66497, 5.78001
-3.63363, -3.68312, 5.78001
-3.61361, -3.64939, 5.78001
-3.59359, -3.71223, 5.78001
-3.57357, -3.63951, 5.78001
-3.55355, -3.5572, 5.78001
-3.53353, -3.51849, 5.78001
-3.51351, -3.5557, 5.78001
-3.49349, -3.45322, 5.78001
-3.47347, -3.47134, 5.78001
-3.45345, -3.48225, 5.78001
-3.43343, -3.38916, 5.78001
-3.41341, -3.42085, 5.78001
-3.39339, -3.41344, 5.78001
-3.37337, -3.34797, 5.78001
-3.35335, -3.30116, 5.78001
-3.33333, -3.30791, 5.78001
-3.31331, -3.29473, 5.78001
-3.29329, -3.23818, 5.78001
-3.27327, -3.2819, 5.78001
-3.25325, -3.24793, 5.78001
-3.23323, -3.24395, 5.78001
-3.21321, -3.23189, 5.78001
-3.19319, -3.20595, 5.78001
-3.17317, -3.25609, 5.78001
-3.15315, -3.12814, 5.78001
-3.13313, -3.13416, 5.78001
-3.11311, -3.07621, 5.78001
-3.09309, -3.06424, 5.78001
-3.07307, -3.09785, 5.78001
-3.05305, -3.07035, 5.78001
-3.03303, -2.96073, 5.78001
-3.01301, -3.10053, 5.78001
-2.99299, -2.94768, 5.78001
-2.97297, -3.04351, 5.78001
-2.95295, -2.96409, 5.78001
-2.93293, -2.92007, 5.78001
-2.91291, -2.96314, 5.78001
-2.89289, -2.78407, 5.78001
-2.87287, -2.91636, 5.78001
-2.85285, -2.85761, 5.78001
-2.83283, -2.80875, 5.78001
-2.81281, -2.78538, 5.78001
-2.79279, -2.75848, 5.78001
-2.77277, -2.78887, 5.78001
