# Time, Pressure, Pressure_err
-10, -9.99843, 5.78034
-9.97998, -9.98444, 5.78034
-9.95996, -9.88552, 5.78034
-9.93994, -9.97165, 5.78034
-9.91992, -9.96103, 5.78034
-9.8999, -9.96563, 5.78034
-9.87988, -9.9418, 5.78034
-9.85986, -9.82644, 5.78034
-9.83984, -9.88843, 5.78034
-9.81982, -9.79384, 5.78034
-9.7998, -9.76472, 5.78034
-9.77978, -9.72868, 5.78034
-9.75976, -9.71487, 5.78034
-9.73974, -9.73376, 5.78034
-9.71972, -9.76823, 5.78034
-9.6997, -9.68654, 5.78034
-9.67968, -9.66274, 5.78034
-9.65966, -9.63172, 5.78034
-9.63964, -9.66907, 5.78034
-9.61962, -9.59778, 5.78034
-9.5996, -9.54056, 5.78034
-9.57958, -9.68312, 5.78034
-9.55956, -9.51866, 5.78034
-9.53954, -9.48982, 5.78034
-9.51952, -9.5479, 5.78034
-9.4995, -9.52821, 5.78034
-9.47948, -9.44543, 5.78034
-9.45946, -9.32018, 5.78034
-9.43944, -9.42399, 5.78034
-9.41942, -9.44343, 5.78034
-9.3994, -9.31735, 5.78034
-9.37938, -9.37578, 5.78034
-9.35936, -9.36102, 5.78034
-9.33934, -9.36669, 5.78034
-9.31932, -9.44535, 5.78034
-9.2993, -9.2223, 5.78034
-9.27928, -9.26592, 5.78034
-9.25926, -9.24987, 5.78034
-9.23924, -9.24073, 5.78034
-9.21922, -9.21982, 5.78034
-9.1992, -9.18231, 5.78034
-9.17918, -9.11524, 5.78034
-9.15916, -9.07641, 5.78034
-9.13914, -9.13225, 5.78034
-9.11912, -9.19377, 5.78034
-9.0991, -9.08141, 5.78034
-9.07908, -9.07868, 5.78034
-9.05906, -9.00257, 5.78034
-9.03904, -8.98153, 5.78034
-9.01902, -9.03027, 5.78034
-8.999, -9.05919, 5.78034
-8.97898, -8.9381, 5.78034
-8.95896, -8.93584, 5.78034
-8.93894, -8.99353, 5.78034
-8.91892, -8.96354, 5.78034
-8.8989, -8.84716, 5.78034
-8.87888, -8.93184, 5.78034
-8.85886, -8.84976, 5.78034
-8.83884, -8.8156, 5.78034
-8.81882, -8.7941, 5.78034
-8.7988, -8.78682, 5.78034
-8.77878, -8.76901, 5.78034
-8.75876, -8.77057, 5.78034
-8.73874, -8.67273, 5.78034
-8.71872, -8.81375, 5.78034
-8.6987, -8.67594, 5.78034
